data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,qtd_pdfs,tipos_pdf_concat
2021-06-01,DSP - DESPACHO 1561/2021,DSP,DESPACHO,1561/2021,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1562/2021,DSP,DESPACHO,1562/2021,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1563/2021,DSP,DESPACHO,1563/2021,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1564/2021,DSP,DESPACHO,1564/2021,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1568/2021,DSP,DESPACHO,1568/2021,SGT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,NULL,1,Texto Integral
2021-06-01,PRT - PORTARIA 143/2021,PRT,PORTARIA,143/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Nomeação,PREENCHIDA,2,Texto Integral | Voto
2021-06-01,PRT - PORTARIA 144/2021,PRT,PORTARIA,144/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Nomeação,PREENCHIDA,2,Texto Integral | Voto
2021-06-01,PRT - PORTARIA 6662/2021,PRT,PORTARIA,6662/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,2,Texto Integral | Voto
2021-06-01,PRT - PORTARIA 671/2021,PRT,PORTARIA,671/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-06-01,PRT - PORTARIA 672/2021,PRT,PORTARIA,672/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-06-01,PRT - PORTARIA 673/2021,PRT,PORTARIA,673/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-06-01,PRT - PORTARIA 674/2021,PRT,PORTARIA,674/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-06-01,PRT - PORTARIA 675/2021,PRT,PORTARIA,675/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-06-01,PRT - PORTARIA 676/2021,PRT,PORTARIA,676/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-06-01,PRT - PORTARIA 677/2021,PRT,PORTARIA,677/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-05-31,DSP - DESPACHO 1444/2021,DSP,DESPACHO,1444/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Juízo de mérito,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,DSP - DESPACHO 1494/2021,DSP,DESPACHO,1494/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,1,Texto Integral
2021-05-31,DSP - DESPACHO 1499/2021,DSP,DESPACHO,1499/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Juízo de mérito,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,DSP - DESPACHO 1520/2021,DSP,DESPACHO,1520/2021,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Anuência (partes relacionadas),PREENCHIDA,1,Texto Integral
2021-05-31,DSP - DESPACHO 1534/2021,DSP,DESPACHO,1534/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Despacho de Registro do Requerimento de Outorga,PREENCHIDA,1,Texto Integral
2021-05-31,DSP - DESPACHO 1535/2021,DSP,DESPACHO,1535/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Despacho de Registro do Requerimento de Outorga,PREENCHIDA,1,Texto Integral
2021-05-31,DSP - DESPACHO 1536/2021,DSP,DESPACHO,1536/2021,SRG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral
2021-05-31,DSP - DESPACHO 1537/2021,DSP,DESPACHO,1537/2021,SGT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Publicação,PREENCHIDA,1,Texto Integral
2021-05-31,DSP - DESPACHO 1538/2021,DSP,DESPACHO,1538/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Despacho de Registro do Requerimento de Outorga,PREENCHIDA,1,Texto Integral
