registro_uid,ano,data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,pdf_ordem,pdf_tipo
2022_00810_pdf1,2022,2022-11-24,ECT - EXTRATO DE CONTRATO 068/2022,ECT,EXTRATO DE CONTRATO,068/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00814_pdf1,2022,2022-11-24,PRT - PORTARIA 350/2022,PRT,PORTARIA,350/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Exoneração,,1,Texto Integral
2022_00814_pdf2,2022,2022-11-24,PRT - PORTARIA 350/2022,PRT,PORTARIA,350/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Exoneração,,2,Voto
2022_00838_pdf1,2022,2022-11-23,PRT - PORTARIA 032/2022,PRT,PORTARIA,032/2022,SE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Revogação,,1,Texto Integral
2022_00846_pdf1,2022,2022-11-23,PRT - PORTARIA 6791/2022,PRT,PORTARIA,6791/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Anuência,,1,Texto Integral
2022_00880_pdf1,2022,2022-11-21,DSP - DESPACHO 020,DSP,DESPACHO,020,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Publicidade,,1,Texto Integral
2022_00931_pdf1,2022,2022-11-18,DSP - DESPACHO 3273/2022,DSP,DESPACHO,3273/2022,SMA/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extinção do processo,,1,Texto Integral
2022_01100_pdf1,2022,2022-11-08,DSP - DESPACHO 3195/2022,DSP,DESPACHO,3195/2022,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Anuência (partes relacionadas),,1,Texto Integral
2022_01104_pdf1,2022,2022-11-08,DSP - DESPACHO 3201/2022,DSP,DESPACHO,3201/2022,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Anuência (alteração estatutária),,1,Texto Integral
2022_01127_pdf1,2022,2022-11-07,DSP - DESPACHO 3196/2022,DSP,DESPACHO,3196/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Suspensão,,1,Texto Integral
